CFSAUID,Incident_Type,Emergency Transfers,Medical Emergencies,Vehicle Accidents,Fires,Airport Standbys,EMS_Demand_Driver
L1R,Medical,0,1,0,0,0,Medical Emergencies
L1S,"Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Motor Vehicle Accident,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Medical,Emergency Transfer,Emergency Transfer,Emergency Transfer,Medical,Emergency Transfer,Medical,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,-,Fire,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Medical,Medical,Emergency Transfer,Medical,Emergency Transfer,Medical,Medical,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Medical,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Medical,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Medical,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Medical,Emergency Transfer,Emergency Transfer",91,12,1,1,0,Emergency Transfers
L1T,"-,Medical,Medical,Medical,-,Medical,Medical,Medical,Medical,Medical,Medical,Medical",0,10,0,0,0,Medical Emergencies
L1V,"Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Motor Vehicle Accident,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,-,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical",0,164,20,0,0,Medical Emergencies
L1W,"Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,-,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Medical",0,87,10,0,0,Medical Emergencies
L1X,"Medical,Medical,Medical,Medical,Medical,-,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical",0,15,0,0,0,Medical Emergencies
L1Z,"-,Medical,Medical,Medical,Medical",0,4,0,0,0,Medical Emergencies
L2A,Emergency Transfer,1,0,0,0,0,Emergency Transfers
L2G,"Emergency Transfer,Emergency Transfer",2,0,0,0,0,Emergency Transfers
L2R,"Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer",5,0,0,0,0,Emergency Transfers
L3P,"Medical,Medical,Medical,Medical",0,4,0,0,0,Medical Emergencies
L3R,"Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Motor Vehicle Accident,Medical,-,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Motor Vehicle Accident,Motor Vehicle Accident,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Motor Vehicle Accident,Motor Vehicle Accident,Medical,Medical,Motor Vehicle Accident,Motor Vehicle Accident,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Motor Vehicle Accident,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Motor Vehicle Accident,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Motor Vehicle Accident,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident",0,169,40,0,0,Medical Emergencies
L3S,"Medical,Medical,Motor Vehicle Accident,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Motor Vehicle Accident,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Motor Vehicle Accident,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Motor Vehicle Accident",0,229,33,0,0,Medical Emergencies
L3T,"Medical,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Motor Vehicle Accident,Medical,Motor Vehicle Accident,Medical,Medical,Medical,-,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Motor Vehicle Accident,Medical,Motor Vehicle Accident,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Motor Vehicle Accident,Medical,Medical,Medical,Medical,Medical,Medical,Medical,Medical",0,157,24,0,0,Medical Emergencies
L3V,"Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer",55,0,0,0,0,Emergency Transfers
L3Y,"Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer",162,0,0,0,0,Emergency Transfers
L4A,Medical,0,1,0,0,0,Medical Emergencies
L4C,"Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Medical,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer,Emergency Transfer",46,1,0,0,0,Emergency Transfers
